iteam_id,name,title,short_title,manual_product_name,review,no_review,unit_cost,price,discount,offer_date
12309080,Enlabs PCIE3RISER20CM PCIE 3.0 x16 Shielded PCI Express Extender Riser Cable - GPU PCIe 16X Horizontal 180 Degree Socket Extension Card - 7.87“,Enlabs PCIE3RISER20CM PCIE 3.0 x16 Shielded PCI Express Extender Riser Cable - GPU PCIe 16X Horizontal 180 Degree Socket Extension Card - 7.87“,Enlabs PCIE3RISER20CM PCIE 3.0 x16 Shielded PCI Express Extender Riser Cable - GPU PCIe 16X Horizontal 180 Degree Socket Extension Card - 7.87“,,5,1,27.65,27.65,0,
194482082,Cameron Sino 1400mAh Two-Way Radio Battery BP-282 for Icom IC-M25,Cameron Sino 1400mAh Two-Way Radio Battery BP-282 for Icom IC-M25,Cameron Sino 1400mAh Two-Way Radio Battery BP-282 for Icom IC-M25,,0,0,27.61,27.61,0,
194482186,Cameron Sino 2800mAh Battery for Thermo Scientific S1 Pipet Filler,Cameron Sino 2800mAh Battery for Thermo Scientific S1 Pipet Filler,Cameron Sino 2800mAh Battery for Thermo Scientific S1 Pipet Filler,,0,0,27.61,27.61,0,
194486771,"Cameron Sino 2000mAh Battery 6504906, TPS-6X, TPS-6X-BTP for Crestron TPS-6X Wireless Touchpanel, TST-600 Wireless Touch Screen","Cameron Sino 2000mAh Battery 6504906, TPS-6X, TPS-6X-BTP for Crestron TPS-6X Wireless Touchpanel, TST-600 Wireless Touch Screen","Cameron Sino 2000mAh Battery 6504906, TPS-6X, TPS-6X-BTP for Crestron TPS-6X Wireless Touchpanel, TST-600 Wireless Touch Screen",,0,0,27.61,27.61,0,
182201594,"Cameron Sino 1300mAh Battery CTR-003 for Nintendo 2DS XL, 3DS, CTR-001, JAN-001, MIN-CTR-001,Switch Pro Controller","Cameron Sino 1300mAh Battery CTR-003 for Nintendo 2DS XL, 3DS, CTR-001, JAN-001, MIN-CTR-001,Switch Pro Controller","Cameron Sino 1300mAh Battery CTR-003 for Nintendo 2DS XL, 3DS, CTR-001, JAN-001, MIN-CTR-001,Switch Pro Controller",,0,0,23.94,23.94,0,
194513590,Cameron Sino 1500mAh Battery EAC63558701 for LG XBOOM Go PL2,Cameron Sino 1500mAh Battery EAC63558701 for LG XBOOM Go PL2,Cameron Sino 1500mAh Battery EAC63558701 for LG XBOOM Go PL2,,0,0,27.61,27.61,0,
194480883,"Cameron Sino 2200mAh Battery for Einhell BG-CG 7.2,Shrub Trimmer,GE-CG 7.2,Grass shear,RG-CG 7.2 LI Grass,Hedge trimmer","Cameron Sino 2200mAh Battery for Einhell BG-CG 7.2,Shrub Trimmer,GE-CG 7.2,Grass shear,RG-CG 7.2 LI Grass,Hedge trimmer","Cameron Sino 2200mAh Battery for Einhell BG-CG 7.2,Shrub Trimmer,GE-CG 7.2,Grass shear,RG-CG 7.2 LI Grass,Hedge trimmer",,0,0,27.61,27.61,0,
194483963,"Cameron Sino 3400mAh Battery for Parrot Bebop 2 Skycontroller 2 P2, please check with your original battery first, this is 3.7V","Cameron Sino 3400mAh Battery for Parrot Bebop 2 Skycontroller 2 P2, please check with your original battery first, this is 3.7V","Cameron Sino 3400mAh Battery for Parrot Bebop 2 Skycontroller 2 P2, please check with your original battery first, this is 3.7V",,0,0,27.61,27.61,0,
194482298,"Cameron Sino 700mAh Roughness Tester Battery 12BAA240, 5HR-AAAU, 2261584 for Mitutoyo Surftest SJ-201","Cameron Sino 700mAh Roughness Tester Battery 12BAA240, 5HR-AAAU, 2261584 for Mitutoyo Surftest SJ-201","Cameron Sino 700mAh Roughness Tester Battery 12BAA240, 5HR-AAAU, 2261584 for Mitutoyo Surftest SJ-201",,0,0,27.61,27.61,0,
194512918,"Cameron Sino 1000mAh Battery 616-0621,LIS1495APPCC,A1421 for Apple iPod Touch 5 iPod Touch 5th Generation , Mini","Cameron Sino 1000mAh Battery 616-0621,LIS1495APPCC,A1421 for Apple iPod Touch 5 iPod Touch 5th Generation , Mini","Cameron Sino 1000mAh Battery 616-0621,LIS1495APPCC,A1421 for Apple iPod Touch 5 iPod Touch 5th Generation , Mini",,0,0,27.61,27.61,0,
194481280,"Cameron Sino 2000mAh Flashlight Battery CLUB-1, INT-1, FAN-1, GP22AAH4BMX for Clulite Range, Torch","Cameron Sino 2000mAh Flashlight Battery CLUB-1, INT-1, FAN-1, GP22AAH4BMX for Clulite Range, Torch","Cameron Sino 2000mAh Flashlight Battery CLUB-1, INT-1, FAN-1, GP22AAH4BMX for Clulite Range, Torch",,0,0,27.61,27.61,0,
194511941,"Cameron Sino 200mAh Battery 616-0639, 616-0640 for Apple A1446,  iPod Nano 7,  iPod Nano 7th","Cameron Sino 200mAh Battery 616-0639, 616-0640 for Apple A1446,  iPod Nano 7,  iPod Nano 7th","Cameron Sino 200mAh Battery 616-0639, 616-0640 for Apple A1446,  iPod Nano 7,  iPod Nano 7th",,0,0,27.61,27.61,0,
194481586,"Cameron Sino 2300mAh Hotspot Battery HB824666RBC for Huawei E5577s-321, E5577Bs-937, E5577 ebs-937, 501HW, 502HW, 504HW, 505HW","Cameron Sino 2300mAh Hotspot Battery HB824666RBC for Huawei E5577s-321, E5577Bs-937, E5577 ebs-937, 501HW, 502HW, 504HW, 505HW","Cameron Sino 2300mAh Hotspot Battery HB824666RBC for Huawei E5577s-321, E5577Bs-937, E5577 ebs-937, 501HW, 502HW, 504HW, 505HW",,0,0,27.61,27.61,0,
194483960,"Cameron Sino 750mAh Medical Battery for BrandTech AutoRep E, HandyStep, Repeating Pipettor,Dispenser,For MettlerToledo AutoRep E","Cameron Sino 750mAh Medical Battery for BrandTech AutoRep E, HandyStep, Repeating Pipettor,Dispenser,For MettlerToledo AutoRep E","Cameron Sino 750mAh Medical Battery for BrandTech AutoRep E, HandyStep, Repeating Pipettor,Dispenser,For MettlerToledo AutoRep E",,0,0,27.61,27.61,0,
194521010,"Cameron Sino 1050mAh Speaker Battery AEC653055-2S for JBL Flip, Flip 1, Please check the place of wires and different connector","Cameron Sino 1050mAh Speaker Battery AEC653055-2S for JBL Flip, Flip 1, Please check the place of wires and different connector","Cameron Sino 1050mAh Speaker Battery AEC653055-2S for JBL Flip, Flip 1, Please check the place of wires and different connector",,0,0,27.61,27.61,0,
194480596,"Cameron Sino 2600mAh Air Quality Meter Battery BAT-IAQ for Honeywell HAQSPA, HAQSPA-R","Cameron Sino 2600mAh Air Quality Meter Battery BAT-IAQ for Honeywell HAQSPA, HAQSPA-R","Cameron Sino 2600mAh Air Quality Meter Battery BAT-IAQ for Honeywell HAQSPA, HAQSPA-R",,0,0,27.61,27.61,0,
194510865,"Cameron Sino 1400mAh Battery for Oricom Secure SC710 SC705, For Audioline BabySense 5 Video, Watch&Care V120 V130 V131 V132 V150","Cameron Sino 1400mAh Battery for Oricom Secure SC710 SC705, For Audioline BabySense 5 Video, Watch&Care V120 V130 V131 V132 V150","Cameron Sino 1400mAh Battery for Oricom Secure SC710 SC705, For Audioline BabySense 5 Video, Watch&Care V120 V130 V131 V132 V150",,0,0,27.61,27.61,0,
194513593,Cameron Sino 1800mAh Mobile WiFi Modem Hotspot battery HB544657EBW for Huawei E5878,Cameron Sino 1800mAh Mobile WiFi Modem Hotspot battery HB544657EBW for Huawei E5878,Cameron Sino 1800mAh Mobile WiFi Modem Hotspot battery HB544657EBW for Huawei E5878,,0,0,27.61,27.61,0,
194486564,"Cameron Sino 1600mAh Battery  for Psion/TEKLOGIX Workabout MX Series, Workabout RF Series, Workabout Series","Cameron Sino 1600mAh Battery  for Psion/TEKLOGIX Workabout MX Series, Workabout RF Series, Workabout Series","Cameron Sino 1600mAh Battery  for Psion/TEKLOGIX Workabout MX Series, Workabout RF Series, Workabout Series",,0,0,27.61,27.61,0,
194516737,"Cameron Sino 1000mAh Battery for DELL PowerEdge 1900,1950,2900,2950,2970,6850,6950,840,H700,M600,M605,R200,R300, R310,R410,R415","Cameron Sino 1000mAh Battery for DELL PowerEdge 1900,1950,2900,2950,2970,6850,6950,840,H700,M600,M605,R200,R300, R310,R410,R415","Cameron Sino 1000mAh Battery for DELL PowerEdge 1900,1950,2900,2950,2970,6850,6950,840,H700,M600,M605,R200,R300, R310,R410,R415",,0,0,27.61,27.61,0,
159815553,"Replacement GPS, Navigator Battery for Spectra MobileMapper 10, MobileMapper 20","Replacement GPS, Navigator Battery for Spectra MobileMapper 10, MobileMapper 20","Replacement GPS, Navigator Battery for Spectra MobileMapper 10, MobileMapper 20",,0,0,27.61,27.61,0,
194514524,Cameron Sino 2400mAh DAB Digital Battery BPS454094P for Geneva WorldRadio,Cameron Sino 2400mAh DAB Digital Battery BPS454094P for Geneva WorldRadio,Cameron Sino 2400mAh DAB Digital Battery BPS454094P for Geneva WorldRadio,,0,0,27.61,27.61,0,
182200916,"Cameron Sino 140mAh Battery 84598-01 for Plantronics Savi 440, 740,W440,W440-M,W740,W740-M, W745, WH500, For Microsoft Lync 2010","Cameron Sino 140mAh Battery 84598-01 for Plantronics Savi 440, 740,W440,W440-M,W740,W740-M, W745, WH500, For Microsoft Lync 2010","Cameron Sino 140mAh Battery 84598-01 for Plantronics Savi 440, 740,W440,W440-M,W740,W740-M, W745, WH500, For Microsoft Lync 2010",,0,0,27.55,27.55,0,
182200937,Cameron Sino 2600mAh Battery PR-633496 for HARMAN/KARDON Onyx studio 3,Cameron Sino 2600mAh Battery PR-633496 for HARMAN/KARDON Onyx studio 3,Cameron Sino 2600mAh Battery PR-633496 for HARMAN/KARDON Onyx studio 3,,0,0,27.55,27.55,0,
179478116,Trusted Platform Module TPM 2.0 Security Module for MSI 14PIN LPC MS-4136,Trusted Platform Module TPM 2.0 Security Module for MSI 14PIN LPC MS-4136,Trusted Platform Module TPM 2.0 Security Module for MSI 14PIN LPC MS-4136,,0,0,27.5,27.5,0,
26160280,"2 Ports USB 3.0+ 4 Ports USB 3.0  5.25"" Internal CD-ROM Bay Front Panel 6 Ports USB Hub,Motherboard USB 20 pin to 2 x USB 3.0, 10 pin to 4 x USB 2.0 Splitter Adapter Cable w/ 5.25 inch Metal Bracket","2 Ports USB 3.0+ 4 Ports USB 3.0  5.25"" Internal CD-ROM Bay Front Panel 6 Ports USB Hub,Motherboard USB 20 pin to 2 x USB 3.0, 10 pin to 4 x USB 2.0 Splitter Adapter Cable w/ 5.25 inch Metal Bracket","2 Ports USB 3.0+ 4 Ports USB 3.0  5.25"" Internal CD-ROM Bay Front Panel 6 Ports USB Hub,Motherboard USB 20 pin to 2 x USB 3.0, 10 pin to 4 x USB 2.0 Splitter Adapter Cable w/ 5.25 inch Metal Bracket",,0,0,27.48,27.48,0,
40980667,"EnLabs FP525U24U32M PC Case 5.25 inch front panel 6 Ports USB Hub,2 Ports USB 3.0 & 4 Ports USB 2.0,2.6ft USB Type A Female to motherboard Adapter Cable","EnLabs FP525U24U32M PC Case 5.25 inch front panel 6 Ports USB Hub,2 Ports USB 3.0 & 4 Ports USB 2.0,2.6ft USB Type A Female to motherboard Adapter Cable","EnLabs FP525U24U32M PC Case 5.25 inch front panel 6 Ports USB Hub,2 Ports USB 3.0 & 4 Ports USB 2.0,2.6ft USB Type A Female to motherboard Adapter Cable",,5,2,27.48,27.48,0,
1423636,"EnLabs ADU3TOHDMI USB to HDMI Adapter, 1080P HD Audio Video Cable Converter, USB 3.0 to HDMI for Multiple Monitors, Compatible with Windows 10/8.1/8/7 (Not Support Vista,LINUX)","EnLabs ADU3TOHDMI USB to HDMI Adapter, 1080P HD Audio Video Cable Converter, USB 3.0 to HDMI for Multiple Monitors, Compatible with Windows 10/8.1/8/7 (Not Support Vista,LINUX)","EnLabs ADU3TOHDMI USB to HDMI Adapter, 1080P HD Audio Video Cable Converter, USB 3.0 to HDMI for Multiple Monitors, Compatible with Windows 10/8.1/8/7 (Not Support Vista,LINUX)",,0,0,27.48,27.48,0,
1726666,"USB 3.1 (10Gbps) Type A To 6Gbps SATAIII 22 Pin 2.5 Inch Hard Disk Driver Adapter Cable Converter  w/ USAP,SATA to USB 3.1 Converter for SSD/HDD","USB 3.1 (10Gbps) Type A To 6Gbps SATAIII 22 Pin 2.5 Inch Hard Disk Driver Adapter Cable Converter  w/ USAP,SATA to USB 3.1 Converter for SSD/HDD","USB 3.1 (10Gbps) Type A To 6Gbps SATAIII 22 Pin 2.5 Inch Hard Disk Driver Adapter Cable Converter  w/ USAP,SATA to USB 3.1 Converter for SSD/HDD",,0,0,27.4,27.4,0,
194654359,"1 pair New Dust Cover Total Hinge Repair Kit for Thorens TD-160, 145, 165","1 pair New Dust Cover Total Hinge Repair Kit for Thorens TD-160, 145, 165","1 pair New Dust Cover Total Hinge Repair Kit for Thorens TD-160, 145, 165",,0,0,27.32,27.32,0,
74096618,"3.5"" Internal Floppy Bay Front Panel Motherboard Mainboard USB 3.0 20Pin Header to 4 Port USB 3.0 Female Hub Adapter Bracket w/ 60cm Cable","3.5"" Internal Floppy Bay Front Panel Motherboard Mainboard USB 3.0 20Pin Header to 4 Port USB 3.0 Female Hub Adapter Bracket w/ 60cm Cable","3.5"" Internal Floppy Bay Front Panel Motherboard Mainboard USB 3.0 20Pin Header to 4 Port USB 3.0 Female Hub Adapter Bracket w/ 60cm Cable",,1,1,27.31,27.31,0,
1726669,"EnLabs USB 3.1 10Gbps to 2.5"" SATA III Hard Drive Adapter Cable w/UASP – SATA to USB 3.1(GEN 2) Converter for 2.5 inch SSD/HDD - Hard Drive Adapter Cable - with Reserve 12V/2A Power Port for 3.5"" HDD","EnLabs USB 3.1 10Gbps to 2.5"" SATA III Hard Drive Adapter Cable w/UASP – SATA to USB 3.1(GEN 2) Converter for 2.5 inch SSD/HDD - Hard Drive Adapter Cable - with Reserve 12V/2A Power Port for 3.5"" HDD","EnLabs USB 3.1 10Gbps to 2.5"" SATA III Hard Drive Adapter Cable w/UASP – SATA to USB 3.1(GEN 2) Converter for 2.5 inch SSD/HDD - Hard Drive Adapter Cable - with Reserve 12V/2A Power Port for 3.5"" HDD",,4,1,27.31,27.31,0,
194510235,"Cameron Sino 1200mAh Battery for Range Rover Touchscreen Rear Entertainment Remote, LR 04 51 02, LR 02 31 91, LR 03 22 94, TSRC","Cameron Sino 1200mAh Battery for Range Rover Touchscreen Rear Entertainment Remote, LR 04 51 02, LR 02 31 91, LR 03 22 94, TSRC","Cameron Sino 1200mAh Battery for Range Rover Touchscreen Rear Entertainment Remote, LR 04 51 02, LR 02 31 91, LR 03 22 94, TSRC",,0,0,27.2,27.2,0,
